CurationProvider,OfferId,DealerId,UniqueOptionId,OptionId,IsMobileDealer,IsOpen,Eta,ChamaScore,ProductBrand,IsWinner,MinimumPrice,MaximumPrice,DynamicPrice,FinalPrice,DefeatPrimaryReason,DefeatReasons,EnqueuedTimeSP
"""ByPrice""","""d668106a-7596-49c6-b99a-18b7a2f3963f""","""9047""","""577e4bbd-f49d-ac23-56a6-e70072a05229""","""9047 || 9047 || LIQUIGAS""",False,False,"""1:00""",9.0,"""LIQUIGAS""",False,92.0,184.0,93.9,93.9,"""Closed""","""['Closed', 'HigherPrice', 'HigherETA']""",25/08/21
"""ByPrice""","""d668106a-7596-49c6-b99a-18b7a2f3963f""","""9047""","""f9b876ab-2590-952f-d69d-5b352ec251f3""","""9047 || 9047 || NACIONALGAS""",False,False,"""1:00""",9.0,"""NACIONALGAS""",True,88.9,177.8,90.8,90.8,"""""","""""",25/08/21
"""ByPrice""","""d668106a-7596-49c6-b99a-18b7a2f3963f""","""8330""","""151e59ac-761a-96f5-d2b9-882037a9fd28""","""8330 || 8330 || CONSIGAZ""",False,True,"""0:01""",8.0,"""CONSIGAZ""",True,80.0,160.0,87.35,87.35,"""""","""""",25/08/21
"""ByPrice""","""d668106a-7596-49c6-b99a-18b7a2f3963f""","""8835""","""b7a7b6d1-4dae-7392-5aaf-f3369c29db1d""","""8835 || 8835 || LIQUIGAS""",False,False,"""0:01""",8.0,"""LIQUIGAS""",True,60.0,120.0,87.35,87.35,"""""","""""",25/08/21
"""ByPrice""","""0a06a478-77b3-4941-83d3-84ded18d4731""","""6517""","""b0e296a9-0590-f0e0-8211-243a2ededb12""","""6517 || dd839e4c-9f84-45eb-9cb2-9069fecf70f2""",True,True,"""00:01:27.4607999""",8.0,"""ULTRAGAZ""",True,90.0,180.0,91.9,91.9,"""""","""""",25/08/21
"""ByPrice""","""0a06a478-77b3-4941-83d3-84ded18d4731""","""6517""","""d6562c24-0b37-5fb4-8275-65b7b8b47b87""","""6517 || 6517""",False,True,"""0:01""",8.0,"""ULTRAGAZ""",False,90.0,180.0,91.9,91.9,"""HasDriverInOffer""","""['HasDriverInOffer']""",25/08/21
"""ByPrice""","""0a06a478-77b3-4941-83d3-84ded18d4731""","""9047""","""8d0f9262-f543-d0c8-a869-33985ae3ecda""","""9047 || 9047 || ULTRAGAZ""",False,False,"""1:00""",9.0,"""ULTRAGAZ""",False,99.0,198.0,99.95,99.95,"""Closed""","""['Closed', 'HigherPrice', 'HasDriverInOffer', 'HigherETA']""",25/08/21
"""ByPrice""","""0a06a478-77b3-4941-83d3-84ded18d4731""","""9047""","""3cd346f4-d297-7568-2e50-d43a8e2fd0a9""","""9047 || 9047 || CONSIGAZ""",False,False,"""1:00""",9.0,"""CONSIGAZ""",False,89.99,179.98,91.89,91.89,"""Closed""","""['Closed', 'HigherPrice', 'HigherETA']""",25/08/21
"""ByPrice""","""0a06a478-77b3-4941-83d3-84ded18d4731""","""9047""","""577e4bbd-f49d-ac23-56a6-e70072a05229""","""9047 || 9047 || LIQUIGAS""",False,False,"""1:00""",9.0,"""LIQUIGAS""",False,92.0,184.0,93.9,93.9,"""Closed""","""['Closed', 'HigherPrice', 'HigherETA']""",25/08/21
"""ByPrice""","""0a06a478-77b3-4941-83d3-84ded18d4731""","""9047""","""f9b876ab-2590-952f-d69d-5b352ec251f3""","""9047 || 9047 || NACIONALGAS""",False,False,"""1:00""",9.0,"""NACIONALGAS""",True,88.9,177.8,90.8,90.8,"""""","""""",25/08/21
"""ByPrice""","""0a06a478-77b3-4941-83d3-84ded18d4731""","""8330""","""151e59ac-761a-96f5-d2b9-882037a9fd28""","""8330 || 8330 || CONSIGAZ""",False,True,"""0:01""",8.0,"""CONSIGAZ""",True,80.0,160.0,87.35,87.35,"""""","""""",25/08/21
"""ByPrice""","""0a06a478-77b3-4941-83d3-84ded18d4731""","""8835""","""b7a7b6d1-4dae-7392-5aaf-f3369c29db1d""","""8835 || 8835 || LIQUIGAS""",False,False,"""0:01""",8.0,"""LIQUIGAS""",True,60.0,120.0,87.35,87.35,"""""","""""",25/08/21
"""ByPrice""","""135d8401-11c0-4d21-bac1-cdb93ba65189""","""6517""","""b0e296a9-0590-f0e0-8211-243a2ededb12""","""6517 || dd839e4c-9f84-45eb-9cb2-9069fecf70f2""",True,True,"""00:07:11.1911999""",8.0,"""ULTRAGAZ""",True,90.0,180.0,91.9,91.9,"""""","""""",25/08/21
"""ByPrice""","""135d8401-11c0-4d21-bac1-cdb93ba65189""","""6517""","""d6562c24-0b37-5fb4-8275-65b7b8b47b87""","""6517 || 6517""",False,True,"""0:01""",8.0,"""ULTRAGAZ""",False,90.0,180.0,91.9,91.9,"""HasDriverInOffer""","""['HasDriverInOffer']""",25/08/21
"""ByPrice""","""135d8401-11c0-4d21-bac1-cdb93ba65189""","""9047""","""8d0f9262-f543-d0c8-a869-33985ae3ecda""","""9047 || 9047 || ULTRAGAZ""",False,False,"""1:00""",9.0,"""ULTRAGAZ""",False,99.0,198.0,99.95,99.95,"""Closed""","""['Closed', 'HigherPrice', 'HasDriverInOffer', 'HigherETA']""",25/08/21
"""ByPrice""","""135d8401-11c0-4d21-bac1-cdb93ba65189""","""9047""","""3cd346f4-d297-7568-2e50-d43a8e2fd0a9""","""9047 || 9047 || CONSIGAZ""",False,False,"""1:00""",9.0,"""CONSIGAZ""",False,89.99,179.98,91.89,91.89,"""Closed""","""['Closed', 'HigherPrice', 'HigherETA']""",25/08/21
"""ByPrice""","""135d8401-11c0-4d21-bac1-cdb93ba65189""","""9047""","""577e4bbd-f49d-ac23-56a6-e70072a05229""","""9047 || 9047 || LIQUIGAS""",False,False,"""1:00""",9.0,"""LIQUIGAS""",False,92.0,184.0,93.9,93.9,"""Closed""","""['Closed', 'HigherPrice', 'HigherETA']""",25/08/21
"""ByPrice""","""135d8401-11c0-4d21-bac1-cdb93ba65189""","""9047""","""f9b876ab-2590-952f-d69d-5b352ec251f3""","""9047 || 9047 || NACIONALGAS""",False,False,"""1:00""",9.0,"""NACIONALGAS""",True,88.9,177.8,90.8,90.8,"""""","""""",25/08/21
"""ByPrice""","""135d8401-11c0-4d21-bac1-cdb93ba65189""","""8330""","""151e59ac-761a-96f5-d2b9-882037a9fd28""","""8330 || 8330 || CONSIGAZ""",False,True,"""0:01""",8.0,"""CONSIGAZ""",True,80.0,160.0,87.35,87.35,"""""","""""",25/08/21
"""ByPrice""","""135d8401-11c0-4d21-bac1-cdb93ba65189""","""8835""","""b7a7b6d1-4dae-7392-5aaf-f3369c29db1d""","""8835 || 8835 || LIQUIGAS""",False,False,"""0:01""",8.0,"""LIQUIGAS""",True,60.0,120.0,87.35,87.35,"""""","""""",25/08/21
